english,telugu
"I saw Tom sitting at the bar alone, drinking wine.","టామ్ ఒంటరిగా బార్ వద్ద కూర్చుని, వైన్ తాగడం చూశాను."
I'm glad Tom helped us.,టామ్ మాకు సహాయం చేసినందుకు నేను సంతోషిస్తున్నాను.
Everybody knew that she was being pushy.,ఆమె పుషీ అవుతోందని అందరికీ తెలుసు.
Delhi has great historical significance as it was home to powerful people,శక్తివంతమైన వ్యక్తులకు నిలయంగా ఉన్న ఢిల్లీకి గొప్ప చారిత్రక ప్రాధాన్యత ఉంది
They don't understand me when I speak German.,నేను జర్మన్ మాట్లాడేటప్పుడు వారు నన్ను అర్థం చేసుకోరు.
Tom tricked Mary into paying for his ticket.,టామ్ తన టికెట్ కోసం మేరీని మోసగించాడు.
Where did you get all this stuff?,ఈ విషయాలన్నీ మీకు ఎక్కడ లభించాయి?
Can you translate this manuscript from French to English?,మీరు ఈ మాన్యుస్క్రిప్ట్‌ను ఫ్రెంచ్ నుండి ఇంగ్లీషులోకి అనువదించగలరా?
Tom flew to Boston today.,టామ్ ఈ రోజు బోస్టన్‌కు వెళ్లాడు.
I feel very guilty.,నేను చాలా అపరాధభావంతో ఉన్నాను.
Tom has a kind heart.,టామ్ దయగల హృదయాన్ని కలిగి ఉన్నాడు.
They'll do what I tell them to do.,నేను చేయమని చెప్పినట్లు వారు చేస్తారు.
Tom didn't seem happy to see me.,టామ్ నన్ను చూడటం సంతోషంగా అనిపించలేదు.
Come here.,ఇక్కడికి రండి.
Tom and Mary are close relatives.,టామ్ మరియు మేరీ దగ్గరి బంధువులు.
Don't talk with your mouth full.,మీ నోటితో పూర్తిగా మాట్లాడకండి.
I found out something interesting today.,నేను ఈ రోజు ఆసక్తికరమైన విషయం కనుగొన్నాను.
Why didn't Tom tell us?,టామ్ మాకు ఎందుకు చెప్పలేదు?
They might not notice that Tom isn't here.,టామ్ ఇక్కడ లేడని వారు గమనించకపోవచ్చు.
We were kids together.,మేము కలిసి పిల్లలు.
Tom is a much better singer than I am.,టామ్ నాకన్నా మంచి గాయకుడు.
Available,అందుబాటులో ఉంది
I closed the door.,నేను తలుపు మూసాను.
You two may leave.,మీరిద్దరూ వెళ్ళవచ్చు.
Tom said he couldn't walk.,టామ్ తాను నడవలేనని చెప్పాడు.
You can't be so sure.,మీరు అంత ఖచ్చితంగా ఉండలేరు.
You're welcome to any book in my library.,నా లైబ్రరీలోని ఏదైనా పుస్తకానికి మీకు స్వాగతం.
Krishna tells the Pandavas about the cruelty of Duryodhana.,కృష్ణుడు దుర్యోధనుడి క్రూరత్వం గురించి పాండవులకు చెప్పాడు.
They sat down.,వారు కూర్చున్నారు.
Is your car black?,మీ కారు నల్లగా ఉందా?
"Tom is thirteen, but he still believes in Santa.","టామ్ పదమూడు సంవత్సరాలు, కానీ అతను ఇప్పటికీ శాంటాను నమ్ముతాడు."
We think you're right.,మీరు సరైనవారని మేము భావిస్తున్నాము.
They were silent.,వారు మౌనంగా ఉన్నారు.
hungry,ఆకలి
Do you think Tom saw it?,టామ్ చూశానని మీరు అనుకుంటున్నారా?
This dish is too spicy.,ఈ వంటకం చాలా కారంగా ఉంటుంది.
ourself,మనమే
Can you imagine what life would be like without television?,టెలివిజన్ లేకుండా జీవితం ఎలా ఉంటుందో మీరు Can హించగలరా?
We aren't doing anything.,మేము ఏమీ చేయడం లేదు.
telugu grammer,తెలుగు వ్యాకరణం
I didn't receive any notice.,నాకు నోటీసు రాలేదు.
Tom asked Mary some stupid questions that she refused to answer.,టామ్ మేరీకి కొన్ని తెలివితక్కువ ప్రశ్నలను అడిగారు.
He will be back soon.,అతను త్వరలో తిరిగి వస్తాడు.
Avinash is a good player.,అవినాష్ మంచి ఆటగాడు.
He was not about to admit his mistake.,అతను తన తప్పును అంగీకరించడం లేదు.
quickly,త్వరగా
We'll stay and fight.,మేము ఉండి పోరాడతాము.
You probably just have a cold.,మీకు జలుబు ఉండవచ్చు.
Why do you think Tom wanted me to do that?,టామ్ నన్ను అలా చేయాలని ఎందుకు అనుకున్నాడు?
What does this machine do exactly?,ఈ యంత్రం సరిగ్గా ఏమి చేస్తుంది?
Mother,అమ్మా
I've got a pain in my side.,నా వైపు నొప్పి వచ్చింది.
Tom put his shirt on a hanger.,టామ్ తన చొక్కాను హ్యాంగర్ మీద ఉంచాడు.
Tom didn't notice the change.,టామ్ మార్పును గమనించలేదు.
Maybe I shouldn't have done that.,బహుశా నేను అలా చేయకూడదు.
Why didn't you say goodbye?,ఎందుకు మీరు వీడ్కోలు చెప్పలేదు?
Tom is on Mary's side.,టామ్ మేరీ వైపు ఉన్నాడు.
How about going out for lunch?,భోజనానికి బయటికి వెళ్లడం ఎలా?
I see life differently now.,నేను ఇప్పుడు జీవితాన్ని భిన్నంగా చూస్తున్నాను.
He feels very happy.,అతను చాలా సంతోషంగా ఉన్నాడు.
School was cancelled because of the snow.,మంచు కారణంగా పాఠశాల రద్దు చేయబడింది.
I use Google almost every day.,నేను దాదాపు ప్రతిరోజూ గూగుల్‌ని ఉపయోగిస్తాను.
Tom said that he needed a rest.,తనకు విశ్రాంతి అవసరమని టామ్ చెప్పాడు.
The police can't stop this.,పోలీసులు దీనిని ఆపలేరు.
Tom fell through the ice.,టామ్ మంచు గుండా పడిపోయాడు.
I'll dream about you.,నేను మీ గురించి కలలు కంటున్నాను.
They are bound together by common interests.,వారు సాధారణ ప్రయోజనాలతో కట్టుబడి ఉంటారు.
Is it true that Tom can't see very well out of his left eye?,టామ్ తన ఎడమ కన్ను నుండి బాగా చూడలేడు అనేది నిజమేనా?
Shadow him.,అతనికి నీడ.
I don't support his ideas.,నేను అతని ఆలోచనలకు మద్దతు ఇవ్వను.
I've been to the dentist's.,నేను దంతవైద్యుని వద్దకు వెళ్లాను.
Everything,అంతా(ప్రతిదీ)
I am very happy to meet you,మిమ్మల్ని కలవడం నాకు చాలా సంతోషంగా ఉంది
We should wait for Tom.,మేము టామ్ కోసం వేచి ఉండాలి.
Tom's unstoppable.,టామ్ యొక్క ఆపుకోలేనిది.
start,ప్రారంభించు
She is anxious about your health.,ఆమె మీ ఆరోగ్యం గురించి ఆత్రుతగా ఉంది.
I just don't think I'm successful enough.,నేను తగినంత విజయవంతమయ్యానని నేను అనుకోను.
Sanskrit is an ancient language that originated in the Indian subcontinent.,సంస్కృతం భారతీయ ఉపఖండంలో ఉద్భవించిన ప్రాచీన భాష.
I've been looking for Tom.,నేను టామ్ కోసం చూస్తున్నాను.
Tom cut his sister a piece of cake.,టామ్ తన సోదరికి కేక్ ముక్కను కత్తిరించాడు.
I respect you for what you have done.,మీరు చేసిన పనికి నేను నిన్ను గౌరవిస్తాను.
Going to Nellore to Vellore.,నెల్లూరు నుంచి వేలూరు వెళ్తున్నారు.
Tom isn't having fun.,టామ్ సరదాగా లేడు.
Our next meeting will be held next on October 20th.,మా తదుపరి సమావేశం అక్టోబర్ 20 న జరుగుతుంది.
I think I speak French about as well as Tom does.,నేను టామ్ గురించి ఫ్రెంచ్ మాట్లాడతాను.
Choose one.,ఒకటి ఎంచుకోండి.
I didn't eat anything else.,నేను వేరే ఏమీ తినలేదు.
Tom is here with me now.,టామ్ ఇప్పుడు నాతో ఇక్కడ ఉన్నారు.
I'm afraid I'll be a burden to you.,నేను మీకు భారం అవుతాను అని భయపడుతున్నాను.
You're avoiding me.,మీరు నన్ను తప్పించుకుంటున్నారు.
Does Tom really have a girlfriend?,టామ్‌కు నిజంగా స్నేహితురాలు ఉందా?
I'd forgotten about that.,నేను దాని గురించి మరచిపోయాను.
"If the weather is nice tomorrow, we will have a picnic.","రేపు వాతావరణం బాగుంటే, మాకు పిక్నిక్ ఉంటుంది."
I won't always be around.,నేను ఎప్పుడూ చుట్టూ ఉండను.
I'm in the eleventh grade.,నేను పదకొండవ తరగతిలో ఉన్నాను.
I'm wasting my time.,నేను నా సమయాన్ని వృధా చేస్తున్నాను.
I slept only two hours.,నేను రెండు గంటలు మాత్రమే పడుకున్నాను.
How can I learn Telugu?,నేను తెలుగు ఎలా నేర్చుకోవాలి?
He put salt into his cup of coffee by mistake.,అతను పొరపాటున తన కప్పు కాఫీలో ఉప్పు వేశాడు.
It had to be you.,ఇది మీరు అయి ఉండాలి.
Tom's wicked.,టామ్ యొక్క దుష్ట.
Tom was the one who got punished.,శిక్ష అనుభవించిన వ్యక్తి టామ్.
Where is your brother?,మీ సోదరుడు ఎక్కడ?
Have you spent a lot of time with Tom?,మీరు టామ్‌తో చాలా సమయం గడిపారు?
I forgot my password.,నేను నా పాస్వర్డ్ను మర్చిపోయాను.
don't manipulate me,నన్ను తారుమారు చేయవద్దు
It's too painful.,ఇది చాలా బాధాకరమైనది.
I know you hate it.,మీరు దానిని ద్వేషిస్తున్నారని నాకు తెలుసు.
where is your sister studying,మీ చెల్లి ఎక్కడ చదువుతోంది
Tom has been managing just fine.,టామ్ బాగానే ఉన్నాడు.
I can't let you do this.,నేను దీన్ని మీకు అనుమతించలేను.
Mom did not mention it.,అమ్మ దాని గురించి ప్రస్తావించలేదు.
Could you show me this bag?,మీరు ఈ బ్యాగ్ నాకు చూపించగలరా?
I see someone waving a white flag.,ఎవరో తెల్ల జెండా aving పుతూ నేను చూస్తున్నాను.
What do you call this animal in French?,మీరు ఈ జంతువును ఫ్రెంచ్ భాషలో ఏమని పిలుస్తారు?
Tom wanted to quit smoking.,టామ్ ధూమపానం మానేయాలని అనుకున్నాడు.
Sunil loves his mother.,సునీల్ తన తల్లిని ప్రేమిస్తాడు.
Tom said he'll wait.,టామ్ అతను వేచి ఉంటానని చెప్పాడు.
You must get rid of such a habit.,మీరు అలాంటి అలవాటును వదిలించుకోవాలి.
We stayed behind to help Tom.,టామ్‌కు సహాయం చేయడానికి మేము వెనుక ఉండిపోయాము.
RRR is an epic action drama movie.,RRR ఒక ఎపిక్ యాక్షన్ డ్రామా మూవీ.
Mary demanded her money back.,మేరీ తన డబ్బును తిరిగి డిమాండ్ చేసింది.
He lost his temper and shouted at me.,అతను నిగ్రహాన్ని కోల్పోయాడు మరియు నాపై అరిచాడు.
I don't feel like working today.,ఈ రోజు పని చేయాలని నాకు అనిపించదు.
Tom can't help us today.,టామ్ ఈ రోజు మాకు సహాయం చేయలేడు.
Tom said that he had been busy.,టామ్ తాను బిజీగా ఉన్నానని చెప్పాడు.
Tom went fly fishing with his father.,టామ్ తన తండ్రితో ఫ్లై ఫిషింగ్ వెళ్ళాడు.
Tom asked us not to make any noise.,టామ్ మాకు శబ్దం చేయవద్దని కోరాడు.
I've always known that this would happen someday.,ఇది ఏదో ఒక రోజు జరుగుతుందని నాకు తెలుసు.
The first girl I ever kissed was Mary.,నేను ముద్దు పెట్టుకున్న మొదటి అమ్మాయి మేరీ.
I still love you very much.,నేను ఇప్పటికీ నిన్ను చాలా ప్రేమిస్తున్నాను.
I wish I were rich.,నేను ధనవంతుడిని అని కోరుకుంటున్నాను.
Tom doesn't feel like doing that now.,టామ్ ఇప్పుడు అలా చేస్తున్నట్లు అనిపించదు.
Telugu to hindi translation,తెలుగు నుండి హిందీకి అనువాదం
How many times did you visit your grandparents last year?,గత సంవత్సరం మీరు మీ తాతామామలను ఎన్నిసార్లు సందర్శించారు?
"It was inevitable, wasn't it?","ఇది అనివార్యం, కాదా?"
Look what you've done to me.,మీరు నాకు ఏమి చేశారో చూడండి.
Didn't you know that Tom was planning to go to Australia?,టామ్ ఆస్ట్రేలియా వెళ్ళాలని యోచిస్తున్నాడని మీకు తెలియదా?
I see the dog.,నేను కుక్కను చూస్తాను.
Don't dress like a tourist.,పర్యాటకుడిలా దుస్తులు ధరించవద్దు.
How do you like that?,మీకు అది ఎలా ఇష్టం?
They arrived at the hotel.,వారు హోటల్ వద్దకు వచ్చారు.
"Why don't you leave, Tom?","టామ్, మీరు ఎందుకు వెళ్లరు?"
They took Tom to the hospital to have his stomach pumped because he ate something poisonous.,టామ్ విషపూరితమైన ఏదో తిన్నందున అతని కడుపు పంప్ చేయటానికి వారు ఆసుపత్రికి తీసుకువెళ్లారు.
"A mile is about 1,600 meters.","ఒక మైలు 1,600 మీటర్లు."
"These aren't yours, are they?",ఇవి మీవి కాదా?
Some boys came into the classroom.,కొంతమంది కుర్రాళ్ళు తరగతి గదిలోకి వచ్చారు.
I woke up three times during the night.,నేను రాత్రి సమయంలో మూడుసార్లు మేల్కొన్నాను.
"Lata Mangeshkar is a legendary Indian playback singer who has sung in over a thousand Hindi films, as well as in various other Indian and foreign languages.","లతా మంగేష్కర్ ఒక పురాణ భారతీయ నేపథ్య గాయని, ఆమె వెయ్యికి పైగా హిందీ చిత్రాలలో, అలాగే అనేక ఇతర భారతీయ మరియు విదేశీ భాషలలో పాడింది."
Everybody jumped into the pool.,అందరూ కొలనులోకి దూకేశారు.
Sai is feeling good,సాయికి మంచి అనుభూతి కలుగుతోంది
Was Tom the one who told you to do that?,టామ్ మీకు అలా చేయమని చెప్పాడా?
Tom was one of my better students.,టామ్ నా మంచి విద్యార్థులలో ఒకడు.
Tom isn't a student.,టామ్ విద్యార్థి కాదు.
Tom doesn't know how sick Mary is.,మేరీ ఎంత అనారోగ్యంతో ఉన్నారో టామ్‌కు తెలియదు.
Don't stare at people.,ప్రజలను తదేకంగా చూడకండి.
How often do you take a shower?,మీరు ఎంత తరచుగా స్నానం చేస్తారు?
Bring me the newspaper.,నాకు వార్తాపత్రిక తీసుకురండి.
Why are running very slowly?,ఎందుకు చాలా నెమ్మదిగా నడుస్తున్నాయి?
The result will satisfy him.,ఫలితం అతన్ని సంతృప్తిపరుస్తుంది.
You're turning red.,మీరు ఎరుపు రంగులోకి మారుతున్నారు.
"S. P. Balasubrahmanyam, was a legendary Indian playback singer and music composer who primarily worked in the Tamil, Telugu, Kannada, Hindi, and Malayalam film industries.","S. P. బాలసుబ్రహ్మణ్యం, ప్రముఖ భారతీయ నేపథ్య గాయకుడు మరియు సంగీత స్వరకర్త, అతను ప్రధానంగా తమిళం, తెలుగు, కన్నడ, హిందీ మరియు మలయాళ చిత్ర పరిశ్రమలలో పనిచేశాడు."
We go fishing together once in a while.,మేము ఒక్కసారి కలిసి చేపలు పట్టడానికి వెళ్తాము.
I couldn't eat fish when I was a child.,నేను చిన్నతనంలో చేపలు తినలేను.
"Odd, isn't it? We should have already arrived.","బేసి, కాదా?"
No one's hungry.,ఎవరికీ ఆకలి లేదు.
Who is your favorite pianist?,మీకు ఇష్టమైన పియానిస్ట్ ఎవరు?
Didn't you know that Tom and I needed to do that?,టామ్ మరియు నేను అలా చేయాల్సిన అవసరం ఉందని మీకు తెలియదా?
It's likely a mistake.,ఇది పొరపాటు.
How many people are on board the ship?,ఓడలో ఎంత మంది ఉన్నారు?
She's thirty-three.,ఆమె ముప్పై మూడు.
There are three printing presses in the workshop.,వర్క్‌షాప్‌లో మూడు ప్రింటింగ్ ప్రెస్‌లు ఉన్నాయి.
Do you know anybody who speaks five languages?,ఐదు భాషలు మాట్లాడే ఎవరైనా మీకు తెలుసా?
Please don't tell anyone I did that.,నేను అలా చేశానని ఎవరికీ చెప్పవద్దు.
I sat down next to him.,నేను అతని పక్కన కూర్చున్నాను.
Maybe the doctor can give Tom something for the pain.,బహుశా డాక్టర్ టామ్ నొప్పికి ఏదైనా ఇవ్వవచ్చు.
"Nellore has a rich history and cultural heritage, with several historical landmarks and temples that attract tourists from all over the world.","నెల్లూరుకు గొప్ప చరిత్ర మరియు సాంస్కృతిక వారసత్వం ఉంది, అనేక చారిత్రక ప్రదేశాలు మరియు దేవాలయాలు ప్రపంచం నలుమూలల నుండి పర్యాటకులను ఆకర్షిస్తాయి."
Tom isn't my uncle.,టామ్ నా మామయ్య కాదు.
What would you do in my position?,నా స్థానంలో మీరు ఏమి చేస్తారు?
The computer is broken.,కంప్యూటర్ విరిగిపోయింది.
I didn't get the joke.,నాకు జోక్ రాలేదు.
I didn't swim because it was too cold.,చాలా చల్లగా ఉన్నందున నేను ఈత కొట్టలేదు.
I don't think I've ever been this happy.,నేను ఇంత సంతోషంగా ఉన్నానని నేను అనుకోను.
Brother,సోదరుడు
I think you know what I'm talking about.,నేను ఏమి మాట్లాడుతున్నానో మీకు తెలుసని అనుకుంటున్నాను.
Tom is wearing an expensive suit.,టామ్ ఖరీదైన సూట్ ధరించి ఉన్నాడు.
The city has a railway station that is part of the South Central Railway network.,నగరంలో దక్షిణ మధ్య రైల్వే నెట్‌వర్క్‌లో భాగమైన రైల్వే స్టేషన్ ఉంది.
Tom and I both live and work in Australia.,టామ్ మరియు నేను ఇద్దరూ ఆస్ట్రేలియాలో నివసిస్తున్నాము మరియు పని చేస్తున్నాము.
The door must not be left open.,తలుపు తెరిచి ఉంచకూడదు.
Tom is our foster son.,టామ్ మా పెంపుడు కొడుకు.
I haven't talked to Tom in a very long time.,నేను టామ్‌తో చాలా కాలం మాట్లాడలేదు.
"Tom is 13, but he still believes in Santa.","టామ్ వయసు 13, కానీ అతను ఇప్పటికీ శాంటాను నమ్ముతాడు."
Has Tom cleaned his room yet?,టామ్ తన గదిని ఇంకా శుభ్రం చేశాడా?
I warned Tom not to come here.,టామ్‌ను ఇక్కడికి రానివ్వమని హెచ్చరించాను.
The temple is one of the oldest and most prominent temples in Nellore.,ఈ ఆలయం నెల్లూరులోని పురాతన మరియు ప్రముఖ దేవాలయాలలో ఒకటి.
Stop acting like such a fool.,అలాంటి మూర్ఖుడిలా వ్యవహరించడం మానేయండి.
Was that Tom you were just talking to?,ఆ టామ్ మీరు ఇప్పుడే మాట్లాడుతున్నారా?
I'm very glad that I didn't do that.,నేను అలా చేయనందుకు చాలా సంతోషంగా ఉంది.
I suppose you'll be studying all day tomorrow.,మీరు రేపు రోజంతా చదువుతారని అనుకుందాం.
I was really depressed.,నేను నిజంగా నిరాశకు గురయ్యాను.
i am very tired,నేను బాగా అలసిపోయాను
Tom married a girl much younger than himself.,టామ్ తనకన్నా చాలా చిన్న అమ్మాయిని వివాహం చేసుకున్నాడు.
Tom cut off Mary's head.,టామ్ మేరీ తల కత్తిరించాడు.
Do you have a piano?,మీకు పియానో ఉందా?
I'm not going to sing.,నేను పాడటానికి వెళ్ళడం లేదు.
I'd never seen you so afraid before.,నేను ఇంతకు ముందు మిమ్మల్ని ఇంత భయంతో చూడలేదు.
Both spellings are correct.,రెండు స్పెల్లింగ్‌లు సరైనవి.
The waiter came over to take away Tom's empty plate.,టామ్ యొక్క ఖాళీ ప్లేట్ తీసివేయడానికి వెయిటర్ వచ్చాడు.
Tom and Mary are both right.,టామ్ మరియు మేరీ ఇద్దరూ సరైనవారు.
I ran to school.,నేను బడికి పరిగెత్తాను.
"I admit, I'm not the tidiest person in the world.","నేను అంగీకరిస్తున్నాను, నేను ప్రపంచంలో చక్కని వ్యక్తిని కాదు."
We know what to expect.,ఏమి ఆశించాలో మాకు తెలుసు.
Tom knew that Mary was awake.,మేరీ మేల్కొని ఉన్నాడని టామ్ కి తెలుసు.
Tom noticed Mary was there.,మేరీ అక్కడ ఉన్నట్లు టామ్ గమనించాడు.
We were supposed to tell everyone to leave.,మేము ప్రతి ఒక్కరినీ వదిలి వెళ్ళమని చెప్పాల్సి ఉంది.
He can touch his nose with his tongue.,అతను తన నాలుకతో ముక్కును తాకగలడు.
It's not too hard.,ఇది చాలా కష్టం కాదు.
Tom wanted me to drive.,టామ్ నన్ను డ్రైవ్ చేయాలనుకున్నాడు.
There was a bridge across each river.,ప్రతి నదికి ఒక వంతెన ఉండేది.
Tom is the youngest of my three children.,టామ్ నా ముగ్గురు పిల్లలలో చిన్నవాడు.
The librarian looked quite sick.,లైబ్రేరియన్ చాలా అనారోగ్యంగా కనిపించాడు.
I don't really want to go fishing with Tom.,నేను నిజంగా టామ్‌తో చేపలు పట్టడానికి ఇష్టపడను.
Here's where they usually have dinner.,ఇక్కడ వారు సాధారణంగా విందు చేస్తారు.
Tom pointed to his chest.,టామ్ అతని ఛాతీ వైపు చూపించాడు.
girl,అమ్మాయి
I can assure you that you are wrong.,మీరు తప్పు అని నేను మీకు భరోసా ఇవ్వగలను.
Tom read Mary a bedtime story.,టామ్ మేరీకి నిద్రవేళ కథ చదివాడు.
You were my inspiration.,మీరు నా ప్రేరణ.
I have news about Tom.,టామ్ గురించి నాకు వార్తలు ఉన్నాయి.
Tom works at a nearby restaurant.,టామ్ సమీపంలోని రెస్టారెంట్‌లో పనిచేస్తాడు.
Tom can't answer.,టామ్ సమాధానం చెప్పలేడు.
Her explanation of the problem was nonsense.,సమస్య గురించి ఆమె వివరణ అర్ధంలేనిది.
I want to be ready for anything.,నేను దేనికైనా సిద్ధంగా ఉండాలనుకుంటున్నాను.
You must clear the table.,మీరు పట్టికను క్లియర్ చేయాలి.
We will now report on this year's business results.,మేము ఇప్పుడు ఈ సంవత్సరం వ్యాపార ఫలితాలపై నివేదిస్తాము.
I wish I had Tom's brains.,నేను టామ్ యొక్క మెదడులను కలిగి ఉండాలని కోరుకుంటున్నాను.
Tom has got nowhere to go.,టామ్ ఎక్కడికి వెళ్ళలేదు.
We've all seen that before.,మనమందరం ఇంతకు ముందు చూశాము.
Tom seems bored.,టామ్ విసుగు చెందినట్లుంది.
I behaved myself.,నేనే ప్రవర్తించాను.
I had to drop out of college and get a job.,నేను కాలేజీ నుండి తప్పుకొని ఉద్యోగం పొందవలసి వచ్చింది.
I don't think that Tom is ever going to get married.,టామ్ ఎప్పుడూ పెళ్లి చేసుకోబోతున్నాడని నేను అనుకోను.
Make sure to back up all your files.,మీ అన్ని ఫైల్‌లను బ్యాకప్ చేయాలని నిర్ధారించుకోండి.
"If Tom is happy, I'm happy.","టామ్ సంతోషంగా ఉంటే, నేను సంతోషంగా ఉన్నాను."
I will win the game next time.,నేను తదుపరిసారి ఆట గెలవను.
I haven't had this much fun in years.,నేను సంవత్సరాలలో చాలా ఆనందించలేదు.
That result was predictable.,ఆ ఫలితం able హించదగినది.
Here are your wages for the last month.,గత నెలలో మీ వేతనాలు ఇక్కడ ఉన్నాయి.
We're coming.,మేము వస్తున్నాము.
Official Information,అధికారిక సమాచారం
I'll phone you as soon as I get to the airport.,నేను విమానాశ్రయానికి వచ్చిన వెంటనే మీకు ఫోన్ చేస్తాను.
I told Tom to go to the police.,నేను టామ్‌ను పోలీసుల వద్దకు వెళ్ళమని చెప్పాను.
Tom is their leader.,టామ్ వారి నాయకుడు.
I thought Tom and Mary were married.,టామ్ మరియు మేరీ వివాహం చేసుకున్నారని నేను అనుకున్నాను.
It's pretty amazing.,ఇది చాలా అద్భుతంగా ఉంది.
Tom likes watching action movies.,టామ్ యాక్షన్ సినిమాలు చూడటం ఇష్టపడతాడు.
Tom said Mary was quite heavy.,టామ్ మేరీ చాలా బరువుగా ఉన్నాడు.
Not a sound was heard.,శబ్దం వినబడలేదు.
Tom sent Mary to summer camp.,టామ్ మేరీని సమ్మర్ క్యాంప్‌కు పంపాడు.
This isn't for sale.,ఇది అమ్మకానికి లేదు.
Happy Birthday to you.,నీకు పుట్టిన రోజు శుభాకాంక్షలు.
I really liked the movie.,నాకు సినిమా నిజంగా నచ్చింది.
I think that it's time for us to tell Tom the truth.,టామ్‌కు నిజం చెప్పే సమయం ఆసన్నమైందని నేను భావిస్తున్నాను.
There is probably an easy solution to the problem.,సమస్యకు సులభమైన పరిష్కారం బహుశా ఉంది.
Tom's career is over.,టామ్ కెరీర్ ముగిసింది.
Look what I found on my way home.,ఇంటికి వెళ్ళేటప్పుడు నేను కనుగొన్నదాన్ని చూడండి.
It's almost dawn and nothing's happened yet.,ఇది దాదాపు తెల్లవారుజాము మరియు ఇంకా ఏమీ జరగలేదు.
I know the boy.,నాకు అబ్బాయి తెలుసు.
I think Tom is gone.,టామ్ పోయిందని అనుకుంటున్నాను.
I did everything the way Tom told me to do it.,టామ్ చెప్పినట్లు చెప్పినట్లు నేను ప్రతిదీ చేసాను.
The police lowered their weapons.,పోలీసులు వారి ఆయుధాలను తగ్గించారు.
Let's forget it.,దాన్ని మరచిపోదాం.
Evil sometimes wins.,చెడు కొన్నిసార్లు గెలుస్తుంది.
Tom is walking in college premises.,టామ్ కాలేజీ ఆవరణలో నడుస్తున్నాడు.
This is the hottest summer that we have had in thirty years.,ముప్పై ఏళ్ళలో మనకు ఉన్న హాటెస్ట్ వేసవి ఇది.
Where exactly does Tom live?,టామ్ సరిగ్గా ఎక్కడ నివసిస్తాడు?
Tom told me you were afraid.,టామ్ నాకు భయపడ్డాడని చెప్పాడు.
We need three cups.,మాకు మూడు కప్పులు అవసరం.
You must try and come to the party.,మీరు తప్పక ప్రయత్నించాలి మరియు పార్టీకి రావాలి.
It's an illusion.,ఇది ఒక భ్రమ.
I have had quite enough of his jokes.,నేను అతని జోకులు చాలా ఉన్నాయి.
That's probably what they'll say.,బహుశా వారు చెప్పేది అదే.
Please tell us what happened.,దయచేసి ఏమి జరిగిందో మాకు చెప్పండి.
I like your apartment.,నేను మీ అపార్ట్మెంట్ను ఇష్టపడుతున్నాను.
I've fixed the radio for him.,నేను అతని కోసం రేడియోను పరిష్కరించాను.
I hate myself.,నన్ను నేను ద్వేషిస్తున్నాను.
I cannot possibly help you.,నేను మీకు సహాయం చేయలేను.
Tom turned down the radio.,టామ్ రేడియోను తిరస్కరించాడు.
You can't take it with you.,మీరు దానిని మీతో తీసుకోలేరు.
Things changed after that.,ఆ తర్వాత పరిస్థితులు మారిపోయాయి.
We're thinking about putting our house up for sale.,మేము మా ఇంటిని అమ్మకానికి పెట్టడం గురించి ఆలోచిస్తున్నాము.
"During the break, I went to look for Tom in the lobby.","విరామ సమయంలో, నేను లాబీలో టామ్ కోసం వెతకడానికి వెళ్ళాను."
I never asked you to do that.,నేను ఎప్పుడూ అలా చేయమని మిమ్మల్ని అడగలేదు.
School begins in April.,పాఠశాల ఏప్రిల్‌లో ప్రారంభమవుతుంది.
Tom asked me for my phone number.,టామ్ నా ఫోన్ నంబర్ అడిగారు.
Tom couldn't wait until the weekend.,టామ్ వారాంతం వరకు వేచి ఉండలేకపోయాడు.
They say that Isabela died.,ఇసాబెలా మరణించాడని వారు అంటున్నారు.
"I couldn't sleep last night, so I decided to watch a horror movie.","నేను గత రాత్రి నిద్రపోలేను, కాబట్టి నేను హర్రర్ సినిమా చూడాలని నిర్ణయించుకున్నాను."
The customer agrees.,కస్టమర్ అంగీకరిస్తాడు.
I'm quite lazy.,నేను చాలా బద్ధకంగా ఉన్నాను.
I have an excuse.,నాకు ఒక అవసరం లేదు.
I want Tom to read this.,టామ్ దీన్ని చదవాలని నేను కోరుకుంటున్నాను.
Please show me how to do that.,దయచేసి దీన్ని ఎలా చేయాలో నాకు చూపించండి.
That's precisely what Tom did.,టామ్ చేసినది అదే.
Tom has an earache.,టామ్‌కు చెవి ఉంది.
I don't know Malayalam.,నాకు మలయాళం రాదు.
I have no money with me.,నా దగ్గర డబ్బు లేదు.
It started as a hobby.,ఇది ఒక అభిరుచిగా ప్రారంభమైంది.
Some people think that hang gliding is a dangerous sport.,కొంతమంది హాంగ్ గ్లైడింగ్ ప్రమాదకరమైన క్రీడ అని భావిస్తారు.
They'll kill me.,వారు నన్ను చంపుతారు.
You were treated unfairly.,మీకు అన్యాయంగా ప్రవర్తించారు.
We're firing you.,మేము మిమ్మల్ని తొలగిస్తున్నాము.
A temple is a building reserved for spiritual rituals and activities such as prayer and sacrifice.,దేవాలయం అనేది ఆధ్యాత్మిక ఆచారాలు మరియు ప్రార్థన మరియు త్యాగం వంటి కార్యకలాపాల కోసం ప్రత్యేకించబడిన భవనం.
That actress is as beautiful as ever.,ఆ నటి ఎప్పటిలాగే అందంగా ఉంది.
I can help you now.,నేను ఇప్పుడు మీకు సహాయం చేయగలను.
The plank froze to the ground.,ప్లాంక్ నేలమీద గడ్డకట్టింది.
